# generated_at: 2026-07-18 22:56:47 BST
Model Name                                           	  Prompt (tokens)	  Generation (tokens)	  Total Tokens	  Prompt Tps	  Gen TPS	Peak (GB)                                        	Finish Reason  	Generation (s)  	Load (s)  	Total (s)  	Quality Issues                    	compatibility_status  	context_integration_score  	draft_improvement_score  	visual_description_score  	assisted_enrichment_score  	  peak_memory_working_set_pct	prompt_burden_kind  	prompt_burden_source  	owner_confidence  	prompt_burden_reason  	processed_image_width  	processed_image_height  	image_patch_count  	Generated Text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                	error_stage  	error_type  	error_package  	error_message
mlx-community/llava-v1.6-mistral-7b-8bit             	            2,356	                   55	         2,411	     1211   	    61.1 	9.7 GB (8.41% of 108 GB recommended working set) 	stop           	2.91s           	0.88s     	3.80s      	                                  	clean                 	                           	                         	                          	                           	                     8.40582 	normal              	estimated_nontext     	low               	                      	                       	                        	                   	The image shows two cats lying on a pink blanket. The cat on the left is a kitten with a black and white striped tail. The cat on the right is a tabby cat with a black and brown striped tail. Both cats are sleeping.
mlx-community/gemma-3n-E4B-it-bf16                   	              274	                  124	           398	      807   	    47.6 	17 GB (14.9% of 108 GB recommended working set)  	stop           	2.96s           	2.26s     	5.24s      	                                  	clean                 	                           	                         	                          	                           	                    14.907   	normal              	estimated_nontext     	low               	                      	                       	                        	                   	Two tabby cats are peacefully napping on a bright pink couch. The cat on the left is lying on its back with its paws curled up, its tail curled around its body. It has a green collar. The cat on the right is also lying on its back, with its head resting on its paws and its tail stretched out. \n\nBetween the two cats are two television remotes, one white and one blue. The couch is made of a soft, plush material. The lighting in the room is soft and warm, creating a cozy atmosphere. The cats appear relaxed and content, enjoying a comfortable nap.
mlx-community/Qwen3.6-27B-mxfp8                      	              319	                   49	           368	      459   	    18   	30 GB (25.8% of 108 GB recommended working set)  	stop           	3.44s           	3.38s     	6.84s      	                                  	clean                 	                           	                         	                          	                           	                    25.7515  	normal              	estimated_nontext     	low               	                      	                       	                        	                   	Two tabby cats are sleeping peacefully on a bright pink couch. One cat lies on its side near a white remote control, while the other stretches out nearby, also next to a remote. Both appear relaxed and comfortable in their cozy spot.
mlx-community/Kimi-VL-A3B-Thinking-8bit              	              399	                  200	           599	     1336   	    65.3 	20 GB (17.2% of 108 GB recommended working set)  	length         	3.51s           	2.30s     	5.83s      	thinking-incomplete, cutoff       	clean                 	                           	                         	                          	                           	                    17.2413  	normal              	estimated_nontext     	medium            	                      	                       	                        	                   	◁think▷Okay, let me try to figure out how to describe this image. First, I need to look at the image carefully. There are two cats on a pink surface, maybe a blanket or a bed. Both cats seem to be lying down. The one on the left is a tabby with gray and black stripes, and the one on the right is a darker tabby, maybe a bit bigger. They both look like they're sleeping or resting. There's a remote control near the left cat and another one near the right cat. The background is pink, which might be a couch or a bed. The image is a bit blurry, especially around the edges, which makes it look like a low-resolution or heavily processed photo. The colors are quite saturated, especially the pink background and the cats' fur. The cats' eyes are closed, and their poses are relaxed. Maybe they're siblings or just two cats that are comfortable with each other. The remotes suggest a home setting
mlx-community/gemma-3-27b-it-qat-4bit                	              275	                   91	           366	      370   	    31.2 	18 GB (15.7% of 108 GB recommended working set)  	stop           	3.68s           	2.31s     	6.00s      	                                  	clean                 	                           	                         	                          	                           	                    15.7053  	normal              	estimated_nontext     	low               	                      	                       	                        	                   	Here's a brief description of the image:\n\nThe image shows two tabby cats lying side-by-side on a bright pink surface, likely a couch cushion or blanket. Both cats are relaxed and appear to be sleeping. Each cat has a remote control resting on its body – one on its chest and one nearby. The cats have striped fur patterns and are in a comfortable, stretched-out position. The overall scene is cute and playful.
jqlive/Kimi-VL-A3B-Thinking-2506-6bit                	              399	                  167	           566	     1264   	    69   	16 GB (13.8% of 108 GB recommended working set)  	stop           	3.80s           	5.00s     	8.81s      	thinking-trace                    	clean                 	                           	                         	                          	                           	                    13.7751  	normal              	estimated_nontext     	low               	                      	                       	                        	                   	◁think▷So, let's describe the image. First, there are two tabby cats on a pink fabric surface. The cat on the left is lying on its side, facing the other cat, with a remote control near its head. The cat on the right is lying on its back, also with a remote control nearby. Both cats have striped fur, and the image has a high-contrast, possibly filtered look. The background is a pink couch or cushion. Need to be concise.◁/think▷Two tabby cats are resting on a pink fabric surface. One cat lies on its side facing the other, while the other lies on its back. Both cats have striped fur patterns. A remote control is near each cat. The scene has a high-contrast, stylized visual effect.<|im_assistant|>
mlx-community/Devstral-Small-2-24B-Instruct-2512-5bit	              441	                   92	           533	      596   	    29.7 	20 GB (17.1% of 108 GB recommended working set)  	stop           	3.86s           	2.23s     	6.11s      	                                  	clean                 	                           	                         	                          	                           	                    17.0904  	normal              	estimated_nontext     	low               	                      	                       	                        	                   	The image features two cats lying on a pink surface, possibly a couch or bed. The cats are positioned in a relaxed manner, with one cat lying on its back and the other on its side. Both cats have a tabby pattern in their fur, characterized by stripes and swirls. The background includes a remote control, suggesting a domestic setting. The overall scene conveys a sense of comfort and leisure, typical of a cat's resting behavior.
mlx-community/paligemma2-10b-ft-docci-448-6bit       	            1,031	                  101	         1,132	     1322   	    33.5 	11 GB (9.6% of 108 GB recommended working set)   	stop           	3.88s           	1.72s     	5.61s      	                                  	clean                 	                           	                         	                          	                           	                     9.59623 	normal              	estimated_nontext     	low               	                      	                       	                        	                   	A top-down view of two cats laying on a pink blanket. The cat on the left is a gray tabby cat with black stripes and is laying on its side with its head facing the right side of the image. The cat on the right is a brown tabby cat with black stripes and is laying on its side with its head facing the left side of the image. There is a gray remote control on the left side of the image and a gray remote control on the right side of the image.
mlx-community/InternVL3-8B-bf16                      	            3,341	                   48	         3,389	     1270   	    32.7 	18 GB (16% of 108 GB recommended working set)    	stop           	4.14s           	1.96s     	6.12s      	                                  	clean                 	                           	                         	                          	                           	                    15.9609  	visual_input        	estimated_nontext     	low               	                      	                       	                        	                   	The image shows two cats sleeping on a pink blanket. One cat is a small kitten, and the other is a larger adult cat. Both are lying on their sides, and there are two remote controls placed near them on the couch.
mlx-community/gemma-3-27b-it-qat-8bit                	              275	                   70	           345	      308   	    16.3 	32 GB (27.4% of 108 GB recommended working set)  	stop           	5.22s           	3.46s     	8.69s      	                                  	clean                 	                           	                         	                          	                           	                    27.4027  	normal              	estimated_nontext     	low               	                      	                       	                        	                   	Here's a brief description of the image:\n\nThe image shows two tabby kittens lying on their backs on a bright pink surface (likely a couch or blanket). Both kittens are relaxed and appear to be sleeping. Each kitten has a remote control resting on its belly. The kittens have striped fur patterns and are in a playful, endearing pose.
